URL,File Size,Number of Outlink,Content Type
https://www.nytimes.com/2020/03/04/technology/personaltech/iphone-pixel-camera-tips.html,417767,61,text/html
https://www.nytimes.com/by/j-d-biersdorfer,305064,55,text/html
https://www.nytimes.com/2020/12/22/opinion/fiction-poetry-trump.html,449666,71,text/html
https://www.nytimes.com/wirecutter/guides/how-to-keep-your-home-cool/,179035,238,text/html
https://www.nytimes.com/wirecutter/reviews/everything-you-wanted-to-know-about-the-instant-pot/,244222,246,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-humidifier/,599916,322,text/html
https://www.nytimes.com/wirecutter/reviews/best-electric-pressure-cooker/,331135,270,text/html
https://www.nytimes.com/wirecutter/reviews/best-stand-mixer/,318536,261,text/html
https://www.nytimes.com/wirecutter/reviews/best-mini-fridge/,210014,209,text/html
https://www.nytimes.com/wirecutter/reviews/ceiling-fan-i-always-get/,228335,224,text/html
https://www.nytimes.com/wirecutter/reviews/best-air-conditioner/,495085,288,text/html
https://www.nytimes.com/wirecutter/blog/why-microwaves-catch-on-fire/,123718,208,text/html
https://www.nytimes.com/wirecutter/reviews/best-fan/,445468,277,text/html
https://www.nytimes.com/wirecutter/blog/ikea-fornuftig-air-purifier/,116288,195,text/html
https://www.nytimes.com/wirecutter/reviews/best-hand-mixer/,273672,236,text/html
https://www.nytimes.com/wirecutter/reviews/best-toaster/,489407,293,text/html
https://www.nytimes.com/wirecutter/blog/molekule-retracts-most-of-its-advertising-claims/,112679,196,text/html
https://www.nytimes.com/wirecutter/reviews/best-portable-induction-cooktop/,278232,245,text/html
https://www.nytimes.com/wirecutter/blog/air-conditioning-coronavirus/,127346,218,text/html
https://www.nytimes.com/wirecutter/blog/do-swamp-coolers-work/,138960,213,text/html
https://www.nytimes.com/wirecutter/reviews/best-sous-vide-gear/,385898,274,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-juicer/,302388,245,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-food-processor/,323307,244,text/html
https://www.nytimes.com/wirecutter/guides/how-to-clean-vacuum-cleaner/,185924,207,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-rice-cooker/,376017,275,text/html
https://www.nytimes.com/issue/todayspaper/2018/05/06/todays-new-york-times,2218951,99,text/html
https://www.nytimes.com/issue/todayspaper/2021/07/25/todays-new-york-times,1611897,96,text/html
https://www.nytimes.com/issue/todayspaper/2018/06/24/todays-new-york-times,2324956,102,text/html
https://www.nytimes.com/issue/todayspaper/2019/07/21/todays-new-york-times,2022453,100,text/html
https://www.nytimes.com/issue/todayspaper/2020/11/29/todays-new-york-times,1584384,105,text/html
https://www.nytimes.com/issue/todayspaper/2020/07/26/todays-new-york-times,1901771,105,text/html
https://www.nytimes.com/issue/todayspaper/2021/04/04/todays-new-york-times,1794099,108,text/html
https://www.nytimes.com/issue/todayspaper/2019/04/28/todays-new-york-times,1880924,95,text/html
https://www.nytimes.com/issue/todayspaper/2018/08/26/todays-new-york-times,2250325,100,text/html
https://www.nytimes.com/issue/todayspaper/2018/03/11/todays-new-york-times,1828335,95,text/html
https://www.nytimes.com/issue/todayspaper/2021/07/04/todays-new-york-times,1644644,100,text/html
https://www.nytimes.com/issue/todayspaper/2020/05/24/todays-new-york-times,1849155,108,text/html
https://www.nytimes.com/issue/todayspaper/2019/10/13/todays-new-york-times,2042172,102,text/html
https://www.nytimes.com/wirecutter/reviews/best-laptops-for-college-students/,248304,237,text/html
https://www.nytimes.com/wirecutter/reviews/best-external-hard-drives/,216617,225,text/html
https://www.nytimes.com/wirecutter/reviews/how-to-buy-used-pc/,211855,242,text/html
https://www.nytimes.com/wirecutter/reviews/best-chromebook/,468666,291,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-budget-gaming-laptop-so-far/,468372,289,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-windows-ultrabook/,475150,293,text/html
https://www.nytimes.com/2021/07/07/world/americas/haiti-etat-de-siege.html,341518,51,text/html
https://www.nytimes.com/wirecutter/reviews/best-laptops/,333872,242,text/html
https://www.nytimes.com/live/2021/07/10/world/jovenel-moise-assassinated,876753,84,text/html
https://www.nytimes.com/2021/07/07/world/haiti-covid-jovenel-moise-turmoil.html,365583,52,text/html
https://www.nytimes.com/es/2021/07/09/espanol/crisis-haiti-asesinato.html,428030,55,text/html
https://www.nytimes.com/wirecutter/reviews/best-wireless-mouse/,447128,278,text/html
https://www.nytimes.com/2021/07/07/world/americas/haiti-poverty-history.html,330556,50,text/html
https://www.nytimes.com/wirecutter/reviews/the-ipad-is-the-best-tablet/,226722,228,text/html
https://www.nytimes.com/wirecutter/authors/kimber-streams/,133325,187,text/html
https://www.nytimes.com/wirecutter/blog/silicon-chip-shortage-delays/,167368,241,text/html
https://www.nytimes.com/wirecutter/reviews/best-laptop-under-500/amp/,181843,103,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-ipad-keyboard-case/,373665,250,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-bluetooth-keyboard/,440820,267,text/html
https://www.nytimes.com/wirecutter/reviews/best-ssds/,423040,291,text/html
https://www.nytimes.com/wirecutter/money/sams-club-membership/,149238,202,text/html
https://www.nytimes.com/wirecutter/blog/how-to-watch-olympics-hdr/,121829,206,text/html
https://www.nytimes.com/wirecutter/reviews/magsafe-accessories-for-iphone/,215045,232,text/html
https://www.nytimes.com/wirecutter/lists/hand-tools-everyone-should-own/,249382,287,text/html
https://www.nytimes.com/wirecutter/reviews/best-putty-knife/,161263,214,text/html
https://www.nytimes.com/wirecutter/reviews/best-adjustable-wrench/,321208,242,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-drill-for-common-household-projects/,417123,260,text/html
https://www.nytimes.com/wirecutter/reviews/best-painters-multi-tool/,192078,223,text/html
https://www.nytimes.com/wirecutter/reviews/best-multitool/,409983,290,text/html
https://www.nytimes.com/wirecutter/reviews/best-drill-bit-set/,264191,238,text/html
https://www.nytimes.com/wirecutter/lists/wall-repair-toolkit/,146708,213,text/html
https://www.nytimes.com/wirecutter/lists/how-to-hang-heavy-stuff/,218538,262,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-tape-measure/,282340,253,text/html
https://www.nytimes.com/wirecutter/blog/the-10-tools-you-need-for-basic-home-repair/,140952,215,text/html
https://www.nytimes.com/wirecutter/guides/pressure-washer-projects/,145956,201,text/html
https://www.nytimes.com/wirecutter/reviews/best-hex-wrenches/,233495,235,text/html
https://www.nytimes.com/wirecutter/reviews/best-prybar/,155632,218,text/html
https://www.nytimes.com/wirecutter/lists/everything-you-need-to-paint-a-room/,219046,256,text/html
https://www.nytimes.com/wirecutter/reviews/best-flashlight/,403051,282,text/html
https://www.nytimes.com/wirecutter/reviews/best-ladders/,367749,262,text/html
https://www.nytimes.com/wirecutter/reviews/best-stud-finder/,282756,258,text/html
https://www.nytimes.com/wirecutter/reviews/best-torpedo-level/,212148,221,text/html
https://www.nytimes.com/wirecutter/reviews/best-non-contact-voltage-tester/,203333,220,text/html
https://www.nytimes.com/wirecutter/reviews/best-basic-home-toolkit/,278190,262,text/html
https://www.nytimes.com/wirecutter/reviews/best-hammer/,323436,269,text/html
https://www.nytimes.com/wirecutter/reviews/best-scissors-kitchen-shears/,387538,282,text/html
https://www.nytimes.com/video/world/asia/100000006754031/hong-kong-protesters.html?action=click&module=video-series-bar&region=header&pgtype=article&playlistid=video%2fhk-protest,1638800,110,text/html
https://www.nytimes.com/video/world/asia/100000006745689/china-national-day-hong-kong-protests.html?action=click&module=video-series-bar&region=header&pgtype=article&playlistid=video%2fhk-protest,1673479,110,text/html
https://www.nytimes.com/video/world/asia/100000006687546/china-military-hong-kong.html?action=click&module=video-series-bar&region=header&pgtype=article&playlistid=video%2fhk-protest,1648036,110,text/html
https://www.nytimes.com/video/world/asia/100000007174092/hong-kong-china-tiananmen-vigil.html?playlistid=video%2fhk-protest,1636788,109,text/html
https://www.nytimes.com/video/world/asia/100000006754031/hong-kong-protesters.html?playlistid=video%2fhk-protest,1638800,109,text/html
https://www.nytimes.com/video/world/asia/100000006830253/hong-kong-protests.html?action=click&module=video-series-bar&region=header&pgtype=article&playlistid=video%2fhk-protest,1637190,110,text/html
https://www.nytimes.com/video/world/asia/100000007636780/hong-kong-47-democracy-activists.html?action=click&module=video-series-bar&region=header&pgtype=article&playlistid=video%2fhk-protest,2557124,110,text/html
https://www.nytimes.com/wirecutter/reviews/best-lcd-led-tv/,383093,283,text/html
https://www.nytimes.com/wirecutter/lists/everything-you-need-to-watch-4k-hdr-movies/,167174,235,text/html
https://www.nytimes.com/wirecutter/blog/ultra-short-throw-projector-vs-tv/,133787,208,text/html
https://www.nytimes.com/wirecutter/guides/buying-a-tv/,239336,229,text/html
https://www.nytimes.com/wirecutter/reviews/best-surround-sound-system/,483680,311,text/html
https://www.nytimes.com/wirecutter/reviews/best-pressure-washer/,461533,267,text/html
https://www.nytimes.com/wirecutter/reviews/best-bike-repair-stand/,198686,214,text/html
https://www.nytimes.com/wirecutter/reviews/best-bike-racks-for-small-homes-and-apartments/,326995,242,text/html
